EventId,EventTemplate,Occurrences
fd985683,Created MRAppMaster for application appattempt 1445144423722 0020 000001,1
7feac570,Executing with tokens :,1
5506e30a,"Kind : YARN AM RM TOKEN, Service : , Ident : (appAttemptId { application id { id : 20 cluster timestamp : 1445144423722 } attemptId : 1 } keyId : -127633188)",1
0594ecc2,Using mapred newApiCommitter.,1
c0c8618d,OutputCommitter set in config null,1
d79644a2,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,1
3a2b3aef,Registering class <*> for class <*>,9
beb11f13,Default file system [hdfs : //msra-sa-41 : 9000],3
3a03968c,Emitting job history data to the timeline server is not enabled,1
ca7d7941,loaded properties from hadoop-metrics2.properties,1
9e8ad6ab,Scheduled snapshot period at 10 second(s).,1
fc657c96,MRAppMaster metrics system started,1
e34d47ad,Adding job token for job 1445144423722 0020 to jobTokenSecretManager,1
38d038b6,Not uberizing job 1445144423722 0020 because : not enabled; too many maps; too much input;,1
bdd131a8,Input size for job job 1445144423722 0020 = 1256521728. Number of splits = 10,1
28f2442c,Number of reduces for job job 1445144423722 0020 = 1,1
bab6bad9,job 1445144423722 0020Job Transitioned from <*> to <*>,3
000f99b3,"MRAppMaster launching normal, non-uberized, multi-container job job 1445144423722 0020.",1
916d4a74,Using callQueue class java.util.concurrent.LinkedBlockingQueue,2
192d0e3e,Starting Socket Reader #1 for port <*>,2
8c4d0a72,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,1
113832c1,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/<*> : 62260,1
e40be51c,IPC Server Responder : starting,2
bedf1b9c,IPC Server listener on <*> : starting,2
a79a1702,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,1
0859dbfb,Http request log for http.requests.mapreduce is not defined,1
a8927e0e,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),1
f9a8f228,Added filter AM PROXY FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context <*>,2
d94e573e,adding path spec : <*>,2
dcd06e1a,Jetty bound to port 62267,1
6b77fa65,jetty-6.1.26,1
1aaa44c5,Extract jar : file : /D : /hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C : \Users\msrabi\AppData\Local\Temp\Jetty 0 0 0 0 62267 mapreduce .8n7xum\webapp,1
8fd89751,Started HttpServer2$SelectChannelConnectorWithSafeStartup <*> : 62267,1
31bfc913,Web app /mapreduce started at 62267,1
5ba9445a,Registered webapp guice modules,1
c28289c5,JOB CREATE job 1445144423722 0020,1
50aea95d,nodeBlacklistingEnabled : true,1
17dc3b51,maxTaskFailuresPerNode is 3,1
93a481e4,blacklistDisablePercent is 33,1
e25f7486,Connecting to ResourceManager at msra-sa-41/<*> : 8030,1
22feac74,"maxContainerCapability : <memory : 8192, vCores : 32>",1
7ef9acf4,queue : default,1
361211a0,Upper limit on the thread pool size is 500,1
2b3d75c5,yarn.client.max-cached-nodemanagers-proxies : 0,1
71ddb2d9,Processing the event EventType : <*> <*>,3
6659e8b0,Resolved <*> to /default-rack,39
f22cc8c8,task 1445144423722 0020 <*> <*> Task Transitioned from <*> to <*>,22
449ea862,attempt 1445144423722 0020 <*> <*> <*> TaskAttempt Transitioned from <*> to <*>,34
afffe16b,"mapResourceRequest : <memory : 1024, vCores : 1>",1
580505b0,"Event Writer setup for JobId : job 1445144423722 0020, File : hdfs : //msra-sa-41 : 9000/tmp/hadoop-yarn/staging/msrabi/.staging/job 1445144423722 0020/job 1445144423722 0020 1.jhist",1
6c60ff39,"reduceResourceRequest : <memory : 1024, vCores : 1>",1
