EventId,EventTemplate,Occurrences
bf7e24c5,"checkCurrentDay a new day comes , reset basicSyncCondition, currentDay is 20171224 oldDay is 20171223",1
21db6048,setWriteDBLastDataMinute = 25233979,1
c980a900,InsertEvent success begin : 25233975 end : 25233979,1
b13a454b,"saveRealTimeHealthDatasStat() size = 1,totalTime = 48",1
e1fe8d25,theDayChanged 1514044800216,1
e788f919,initEnviroument,1
3244bf49,getStepCounterStatus,1
c00a6568,getStepCounterStatus = true,1
86bcfaea,reStartStepCounter,1
c5a628cf,deleteHealthNotification(),1
91d90b03,uploadStaticsToDB failed message = true,1
514abfb6,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = 4,errorMessage = ERR_DATA_INSERT",1
042d7a7a,setWriteDBLastDataMinute success,1
d35dfbbc,registersensorsuccess : true,1
3616b800,clear(),1
b3d6ad7f,flush2DB result success,1
0da159ce,writeDataToDB size 327,1
8e523808,closeNotification...,1
9bf7cf41,setGoalNotifiShownRecord 1514044800237 false,1
2b7e106f,next day : steps0mLastReport7214,1
8b3a278c,reload : 3786 restar 0,1
71ffe66c,tryToReloadTodayBasicSteps1514044800223|3786|0|0,1
79433a85,Alarm uploadStaticsToDB totalSteps = 7163Calories : 153367Floor : 240Distance : 5112,1
0635a938,flushTempCacheToDB by stand,1
2d37bcd9,setDiffTotalSteps = 0,1
ffb006b5,"screen status unknown,think screen on",1
1d3302d4,setBasicStandardSteps basicStandardStep = 3786 restartSteps = 0,1
03a21551,isScreenOn true,1
00d03c97,tryToRecordAsBasicStepData bWrite true,1
c296f55b,getDiffTotalSteps = <*>,2
f034e86a,"startInsertSportSync first 500 steps sync,do all sync",2
540df4b1,"checkFirstSyncByType no such data in db ,type is 1 deviceCode is 0",2
03c259bc,"startInsertSportSync start auto sync,app is 1",2
7c62ae10,"stepSyncOrNot appSynTimes is 0, statsyncTimes is 0",2
12fdc8cc,<*> <*> type = <*> <*> = true,2
034409f5,insertHiHealthData() end totalTime = <*>,2
960958ed,startListenerChange subscribeList = [1],2
46c87663,"insertHiHealthData() size = <*> = 1,One Data Type = <*> = com.huawei.health,writeStatType = 0",2
c6841826,insertHiHealthData() checkAppType 0 appID = 1,2
824b3d7b,"getAppContext() isAppValid health or wear, packageName = com.huawei.health",2
59c10946,getTodayBasicStandardSteps = <*>,2
1809a7f0,bulkSaveDetailHiHealthData() size = <*> = <*>,2
9b0d93a6,stepSyncOrNot appSynTimes is 0,3
3ba40b70,startTimer start autoSync,3
c0df8ce6,checkInsertStatus <*> or <*> is enough,4
9ee11363,"saveStatData() type = <*> = 1513958400000,statClient = 2,who is 1",4
d721dd70,saveHealthDetailData() <*> <*> <*> = <*> = <*>,4
64f30326,"startSync hiSyncOption = HiSyncOption{syncAction = <*> syncMethod = 2, syncScope = 0, syncDataType = 20000, syncModel = 2, pushAction = 0},app = 1 who = 1",5
8764d489,sendSyncFailedBroadcast,5
9c3d98b2,"timeStamp back,extendReportTimeStamp = <*>",5
6e805a4c,needAutoSync autoSyncSwitch is open,5
e4156b58,"initDataPrivacy the dataPrivacy switch is open, start push health data!",5
38085a58,initDataPrivacy the dataPrivacy is true,5
258ac68e,upLoadOneMinuteDataToEngine time = <*>,5
1d4b8a6f,initUserPrivacy the userPrivacy is true,5
3f9b4da2,ifCanSync not! no cloud version,5
f257f214,"initUserPrivacy the userPrivacy switch is open, start push user data!",5
80fd1c95,getTodaySportData mStepsRecordManager = com.huawei.health.g.c@8a2a501,6
5fed72bf,getBinderPackageName packageName = com.huawei.health,8
c5593f5d,"new date = 20171223, type = <*> = <*>",17
b8f897f8,flush sensor data,17
ba81bfbe,onReceive action : <*>,34
5cdf7db4,REPORT : <*> <*> <*> <*>,136
1ca203ab,processHandleBroadcastAction action : <*>,161
3e84d313,calculateAltitudeWithCache totalAltitude = <*>,241
64a19b89,calculateCaloriesWithCache totalCalories = <*>,241
1dc55c4c,setTodayTotalDetailSteps = <*>,241
e0a83abb,getTodayTotalDetailSteps = <*>,242
93067dc4,onStandStepChanged <*>,260
d2954b34,onExtend : <*> <*> 0 <*>,273
