EventId,EventTemplate,Occurrences
8a77d6fb,ciod : Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map : Permission denied,1
1c2a9320,critical input interrupt enable...0,1
5c16f86f,special purpose registers :,1
1c646469,lr : 00004ed0 cr : 28244842 xer : 20000002 ctr : 00086000,1
af999985,rts internal error,1
940724cb,instruction address space.........0,1
6f7d9a67,ciod : duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,1
a3790bf8,fpr29 = (ADDR) ffffffff ffffffff ffffffff,1
7be449d6,ciod : Z coordinate 32 exceeds physical dimension 32 at line 33 of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,1
73253e18,rts : kernel terminated for reason 1001rts : bad message header : invalid cpu type = 42315 cpu = 105 index = 1207960804 total = 2691015,1
12c46e92,NodeCard is not fully functional,1
fc539c4c,Node card status : ALERT 0 ALERT 1 ALERT 2 ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,1
dd935d42,PrepareForService shutting down NodeCard(mLctn(R25-M1-N2) mCardSernum(203231503833343000000000594c31304b34333431303158) mLp(FF : F2 : 9F : 16 : CF : 0F : 00 : 0D : 60 : E9 : 30 : F0) mIp(10.2.2.80) mType(4)) as part of Service Action 310,1
ee5a6cae,rts tree/torus link training failed : wanted : B C X+ X- Y+ Y- Z+ Z- got : B C X- Y- Z+ Z-,1
c6b0ba1a,ciod : In packet from node 91.0 (R62-M1-Nf-C : J03-U11) message code 2 is not 3 or 4294967295 (softheader = 003b005b 00030000 00000001 00000000),1
a828f891,shutdown complete,1
e8a1ed5d,3 L3 EDRAM error(s) (dcr 0x0157) detected and corrected,1
1037ad5d,dbcr0 = (ADDR) dbsr = (ADDR) ccr0 = (ADDR),1
af8aafa3,r24 = (ADDR) r25 = (ADDR) r26 = (ADDR) r27 = (ADDR),1
181446a3,PrepareForService shutting down Node card(mLctn(R10-M1-N2) mCardSernum(203231503833343000000000594c31304b34323934303257) mLp(FF : F2 : 9F : 16 : E0 : DA : 00 : 0D : 60 : E9 : 1F : 25) mIp(10.1.1.164) mType(4)) as part of Service Action 648,1
64d56eed,minus normalized number..................0,1
c56cf501,fraction rounded.........................0,1
f848d6c7,size of scratchpad portion of L3.........0 (0M),1
4bff1de2,ciod : LOGIN chdir(/p/gb1/stella/RAPTOR/2183) failed : Input/output error,1
58b7753b,2 L3 EDRAM error(s) (dcr 0x0157) detected and corrected over 282 seconds,1
782c54e2,ciod : Error loading /g/g24/buber/Yunsic/BlueGene/partad.develf/taddriver.32.exe : program image too big 361544528 > 266076160,1
198c56f7,wait state enable.................0,1
7ba7fdb2,program interrupt : fp cr update.............0,1
c54122d1,Machine State Register : (ADDR),1
a2ea98f8,ciod : cpu 0 at treeaddr 438 sent unrecognized message (ADDR),1
2ec4bdb1,debug interrupt enable............0,1
bbcf6172,ciod : Message code 0 is not 51 or 4294967295,1
e00e299a,NFS Mount failed on <*> slept 15 seconds retrying (1),2
1300c715,ciod : Missing or invalid fields on line 1 of node map file <*>,2
40c9c002,store operation.............................1,2
ad3f3991,<*> tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over <*> seconds,2
