EventId,EventTemplate,Occurrences
3c5e98a7,Security Scaffold v1.0.0 initialized,1
15e7f54d,mtrr: v2.0 ( 20020519 ),1
607eef3d,PCI: Using configuration type 1,1
eea2d0be,PCI: PCI BIOS revision 2.10 entry at 0xfc0ce last bus = 1,1
853b751d,NET: Registered protocol family 16,1
60696e47,POSIX conformance testing by UNIFIX,1
80734f26,Initializing random number generator: succeeded,1
0dfe904f,Checking 'hlt' instruction... OK.,1
5de744ee,Enabling unmasked SIMD FPU exception support... done.,1
1d8fe60a,Enabling fast FPU save and restore... done.,1
4ed240a7,ACPI: Subsystem revision 20040326,1
5dbe1e7b,CPU: Intel Pentium III ( Coppermine ) stepping 06,1
53650236,Intel machine check architecture supported.,1
d678ffa6,CPU: L2 cache: 256K,1
e80ae37f,CPU: L1 I cache: 16K L1 D cache: 16K,1
acd4b190,Dentry cache hash table entries: 16384 ( order: 4 65536 bytes ),1
48a493b0,Capability LSM initialized,1
87fcba76,selinux register security: Registering secondary module capability,1
a31006da,Failure registering capabilities with the kernel,1
6d457c69,There is already a security framework initialized register security failed.,1
426f668c,SELinux: Starting in permissive mode,1
67e6196c,Intel machine check reporting enabled on CPU#0.,1
cf383357,ACPI: Interpreter disabled.,1
3b95b63d,Linux Plug and Play Support v0.97 ( c ) Adam Belay,1
ee129c71,Starting pcmcia: succeeded,1
2e3d6c0c,isapnp: No Plug & Play device found,1
2bf1954b,isapnp: Scanning for PnP cards...,1
da8037ce,pci hotplug: PCI Hot Plug PCI Core version: 0.5,1
2b566107,Initializing Cryptographic API,1
6999d396,SELinux: Registering netfilter hooks,1
4e2cf38f,VFS: Disk quotas dquot 6.5.1,1
f3b4bfda,Bringing up loopback interface: succeeded,1
cab2fc96,Total HugeTLB memory allocated 0,1
db9d37a1,sdpd v1.5 started,1
a9d64ca2,Setting network parameters: succeeded,1
e75dd365,audit ( 1122475266.4294965305:0 ) : initialized,1
1a06754d,HCI daemon ver 2.4 started,1
d1ec3c98,kernel.core uses pid = 1,1
2b590d41,audit: initializing netlink socket ( disabled ),1
61546724,apm: BIOS version 1.2 Flags 0x03 ( Driver version 1.16ac ),1
2e450820,PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,1
4fb9993c,Transparent bridge - 0000:00:1e.0,1
2858f73a,PCI: Probing PCI hardware ( bus 00 ),1
1f72ed8d,PCI: Probing PCI hardware,1
ea8a8d97,PCI: Invalid ACPI-PCI IRQ routing table,1
cafc1bbd,ACPI: ACPI tables contain no PCI IRQ routing entries,1
158c34d8,SELinux: Initializing.,1
25be35b6,Real Time Clock Driver v1.12,1
ad163127,Linux agpgart interface v0.100 ( c ) Dave Jones,1
d849c4d4,Memory: 125312k/129720k available ( 1540k kernel code 3860k reserved 599k data 144k init 0k highmem ),1
aa96bf18,authentication failure logname = uid = 0 euid = 0 tty = :0 ruser = rhost =,1
03649f38,Couldn't authenticate user,1
c80127b9,imps2: Auto-detected intellimouse PS/2,1
8eff90b2,Calibrating delay loop... 1445.88 BogoMIPS,1
7c5f6003,*** info [mice.c ( 1766 ) ]:,1
41cbeeb8,klogd 1.4.1 log source = /proc/kmsg started.,1
325d0565,Linux version 2.6.5-1.358 ( bhcompile@bugs.build.redhat.com ) ( gcc version 3.3.3 20040412 ( Red Hat Linux 3.3.3-7 ) ) #1 Sat May 8 <*> EDT 2004,1
8c537990,BIOS-provided physical RAM map:,1
64e68fc2,Received SNMP packet ( s ) from <*>,1
42e1da55,zapping low mappings.,1
a4389a03,session opened for user root by LOGIN ( uid = 0 ),1
90cdab58,DMI 2.3 present.,1
a9678e83,On node 0 totalpages: 32430,1
57c497f6,User unknown timed out after 900 seconds at Sat Jun 18 <*> 2005,1
a5b547df,Console: colour VGA+ 80x25,1
85959353,Using tsc for high-res timesource,1
8c112e82,Version 1.0.6 Starting,1
b6fd22c2,Detected 731.219 MHz processor.,1
3c5b4adb,ACPI disabled because your bios is from 2000 and too old,1
be158aca,CPU 0 irqstacks hard = 02345000 soft = 02344000,1
e2234786,ROOT LOGIN ON tty2,1
4845b66c,mapped 4G/4G trampoline to ffff3000.,1
ea3f2a3d,Kernel command line: ro root = LABEL = / rhgb quiet,1
de6cd9cf,Built 1 zonelists,1
2dc02775,You can enable it with acpi = force,1
fe3c862d,Initializing CPU#0,1
9998416d,warning: can't get client address: Connection reset by peer,2
4f948336,<*> <*> available.,2
f1205e3c,usbcore: registered new driver <*>,2
5369f272,ANONYMOUS FTP LOGIN FROM <*> ( anonymous ),2
a757bbe6,<*> zone: <*> pages LIFO <*>,3
0fcef860,getpeername ( ftpd ) : Transport endpoint is not connected,4
42120695,<*> hash table entries: <*> ( <*> <*> <*> bytes ),4
1dc76b69,BIOS-e820: <*> - <*> ( <*> ),5
6f97e9d4,restart.,7
2315719c,<*> startup succeeded,8
a8220517,<*> device node <*>,8
89d42be5,Authentication failed from <*> ( <*> ) : Permission denied in replay cache code,8
d6254e1a,cupsd <*> succeeded,12
a908e634,Authentication failed from <*> ( <*> ) : Software caused connection abort,15
a82d5ea6,notify question section contains no SOA,16
dea5ca56,Kerberos authentication failed,23
a757c0c2,ALERT exited abnormally with [1],43
632d754a,check pass user unknown,117
637ca600,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = <*>,117
4ac69790,session opened for user <*> by ( uid = <*> ),122
27624832,session closed for user <*>,123
014ade47,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = <*> user = <*>,372
fbcd9ab5,connection from <*> ( <*> ) at <*> <*> <*> <*> 2005,909
