EventId,EventTemplate,Occurrences
b8e21dc7,printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token = Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}} allDrawn = false startingDisplayed = false startingMoved = false isRelaunching = false,1
91198dda,Unable to start service Intent { act = <*> cmp = <*><*>.<*> } U = <*> not found,1
f78dcf48,Killing <*> <*><*> (adj <*>) empty for 1810s,1
eadc277d,getMode...,1
ce34163a,isBluetoothScoOn...,1
219ced65,isBluetoothA2dpOn...,1
4a24deb3,"release lock = <*> flg = <*> tag = ""handleAudioEvent"" name = android"" ws = null uid = <*> pid = <*>",1
5250d061,"release lock = <*> flg = <*> tag = ""WiredAccessoryManager"" name = android"" ws = null uid = <*> pid = <*>",1
520a3a3b,setWiredDeviceConnectionState type <*> state <*>,1
494bab1c,"acquire lock = <*> flags = <*> tag = ""handleAudioEvent"" name = android ws = null uid = <*> pid = <*>",1
6322342b,setWiredDeviceConnectionState type -<*> state <*>,1
209dc3ee,"acquire lock = <*> flags = <*> tag = ""WiredAccessoryManager"" name = android ws = null uid = <*> pid = <*>",1
13d3f523,unregisterAudioFocusListener...,1
aa14a9c9,Start dump calling from pid = <*> uid = <*>,1
f29afb84,animateCollapsePanels flags = <*> force = false delayed = false mExpandedVisible = true,1
4be9168e,startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for Intent { flg = <*> cmp = <*>/.ui.LauncherUI (has extras) },1
e2fd7808,flingToHeight vel = <*>.<*> expand = false target = <*>.<*> collapseSpeedUpFactor = <*>.<*> expandBecauseOfFalsing = false,1
c5be93aa,START u0 {act = <*> flg = <*> cmp = <*>/.activity.SplashActivity (has extras)} from uid <*> on display <*>,1
679af217,[PhoneIntfMgr] getDataEnabled subId = <*> retVal = true,1
78178d22,[PhoneIntfMgr] getDataEnabled subId = <*> phoneId = <*>,1
3ad5a38d,*** unregister callback for null,1
fb4a335d,*** register callback for <*> <*>,1
6ed37c98,isSimPinSecure mSimDatas is null or empty,1
c29945e0,onTrackingStopped true,1
a8b307b1,flingToHeight vel = <*>.<*> expand = true target = <*>.<*> collapseSpeedUpFactor = <*>.<*> expandBecauseOfFalsing = false,1
d3976d59,*** unregister callback for <*> <*>,1
504c331a,abandonAudioFocus,1
fbc54fb7,[HSM] stayAwake false uid <*> pid <*>,1
42f6718e,Pid <*> MediaPlayer destructor,1
d77010ae,START u0 {flg = <*> cmp = <*>/.ui.LauncherUI (has extras)} from uid <*> on display <*>,1
f403fd5a,enqueueNotificationInternal pkg = <*> id = <*> notification = Notification(pri = <*> contentView = null vibrate = [] sound = null tick defaults = <*> flags = <*> color = <*> category = msg vis = PRIVATE),1
e23c2601,handleBatteryUpdate,1
0202fa37,ChargingSpeed Wattage -<*> ST <*> --> <*>,1
fd241a93,battery changed pluggedType <*>,1
01334395,DefaultState what = <*>,1
7465dea5,ApStaDisabledState what = <*>,1
e81f8eb2,ACTION_BATTERY_CHANGED pluggedType <*>,1
279b652e,onReceive action <*>,1
4febbd02,updateChargingLocked charging = false,1
043aef98,ACTION_BATTERY_CHANGED AMP <*>; Volt <*>,1
b00fdb37,updateIsPoweredLocked wasPowered = false mIsPowered = false oldPlugType = <*> mPlugType = <*> mBatteryLevel = <*>,1
17b2628e,getStreamVolume treamType <*>,1
e05b9cb1,setDataSource(<*> <*> <*>),1
d639dd08,isWiredHeadsetOn...,1
2cbec1de,getCellLocation is blocked by permission manager uid <*> pid <*>,1
d9868891,START u0 {act = <*> cat = [<*>] flg = <*> cmp = <*>/.activity.SplashActivity bnds = [<*> <*>][<*> <*>]} from uid <*> on display <*>,1
b5b561a1,Application requested orientation -<*> got rotation <*> which has compatible metrics,1
f3089ad0,rotationForOrientationLw(orient = -<*> last = <*>); user = <*> USER_ROTATION_LOCKED,1
29dc3a32,START u0 {act = <*> cat = [<*>] flg = <*> cmp = <*>/.NotePadActivity bnds = [<*> <*>][<*> <*>]} from uid <*> on display <*>,1
7e371493,enqueueNotificationInternal pkg = <*> id = <*> notification = Notification(pri = <*> contentView = null vibrate = [<*>] sound = null tick defaults = <*> flags = <*> color = <*> vis = PRIVATE),1
89735099,Start proc <*> <*> qzone<*> for service <*><*>.<*>,1
d4a8e705,new Process app = ProcessRecord{<*> <*> <*> qzone<*>} name <*> qzone euid <*>,1
d8cb5b06,Scheduling restart of crashed service <*><*>.<*> in 1000ms,1
58699af0,Process <*> qzone (pid <*>) has died,1
59b4d141,state.clipTopAmount -<*> i <*>,1
cd7563b4,onTrackingStarted,1
c027fdc9,makeExpandedInvisible mExpandedVisible = false,1
13759f7c,Destroying surface Surface(name = SurfaceView - <*><*>.<*>) called by <*> <*> <*> <*> <*> <*> <*>$Stub.onTransact <*> <*> <*> <*> <*> <bottom of call stack> <bottom of call stack>,1
91b182fa,"release lock = <*> flg = <*> tag = ""WindowManager"" name = android"" ws = WorkSource{<*>} uid = <*> pid = <*>",1
4a6aee50,Destroying surface Surface(name = <*><*>.<*>) called by <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>$Stub.onTransact <*> <*> <*>,1
4109b23f,"release lock = <*> flg = <*> tag = ""View Lock"" name = <*>"" ws = null uid = <*> pid = <*>",1
d3d08bbe,Screen frozen for +1s0ms due to Window{<*> u0 <*><*>.<*>},1
afda6916,Bad activity token <*> <*>,1
2a46c599,<*> <*> cannot be cast to <*>$Token,1
ade15b9a,schedulePeek,1
4bea79c0,startAnimation begin,1
14361819,orientation change is complete call stopFreezingDisplayLocked,1
df6a75d9,"release lock = <*> flg = <*> tag = ""SCREEN_FROZEN"" name = android"" ws = null uid = <*> pid = <*>",1
d8791e4b,startAnimation end,1
c2871baa,"acquire lock = <*> flags = <*> tag = ""View Lock"" name = <*> ws = null uid = <*> pid = <*>",1
36dc96c6,onNotificationExpansionChanged called,2
14081a84,Marking notification as seen <*> <*> <*> null <*>,2
a54953d5,ACTIVITY check resid <*> size = <*>,2
437bebb7,addNotification key = <*> <*> <*> null <*>,2
e6415b0d,updateLightsLocked mInCall = false mScreenOn = true ledNotification = = null?false,2
2a9a6d07,getDevicesForStream streamType <*>,2
0d23cf06,cancelNotificationLocked called tell the app reason = <*>,2
9042ff8a,visible is <*> gt <*>,2
2447d9c8,setSpeakerphoneOn on true,2
6a9f7f7c,RefreshBatteryInfo isBatteryLow <*>,2
d25e70cd,removeNotification <*> <*> <*> null <*>,2
7f4eb773,applyOptionsLocked Unknown animationType = <*>,2
fe7cf63f,cancelNotificationLocked remove = <*>,2
e8925df5,cancelNotificationLocked <*> <*> <*> null <*>,2
f02115d0,onExpandingStarted,2
e8a5f2bf,Sending non-protected broadcast <*> from system <*> <*><*> pkg <*>,2
26138fec,Skipping AppWindowToken{<*> token = Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}} -- going to hide,2
06c4f169,onNotificationClick called,2
4c32608b,Application requested orientation <*> got rotation <*> which has compatible metrics,2
b5721111,onExpandingFinished,2
e9621037,enqueueNotificationInternal n.getKey = <*> <*> <*> null <*>,2
33c7b245,getRingtonePlayer...,2
491f56b5,rotationForOrientationLw(orient = <*> last = <*>); user = <*> USER_ROTATION_LOCKED,2
cd4eac10,remove(PendingIntent{<*> PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching,2
bde2f9a6,onInterceptTouchEvent MotionEvent { action = ACTION_DOWN actionButton = <*> id[<*>] = <*> x[<*>] = <*>.<*> y[<*>] = <*>.<*> toolType[<*>] = TOOL_TYPE_FINGER buttonState = <*> metaState = <*> flags = <*> edgeFlags = <*> pointerCount = <*> historySize = <*> eventTime = <*> downTime = <*> deviceId = <*> source = <*> } mBlockTouches = false,2
df611466,onTouchEvent <*> x = <*>.<*> y = <*>.<*>,2
7ef44be5,cancelNotification cancelNotificationLocked callingUid = <*> callingPid = <*>,2
56396dcf,Skipping AppWindowToken{<*> token = Token{<*> ActivityRecord{<*> u0 <*><*>.<*> t761}}} -- going to hide,2
ee21eb4e,onInterceptTouchEvent MotionEvent { action = ACTION_UP actionButton = <*> id[<*>] = <*> x[<*>] = <*>.<*> y[<*>] = <*>.<*> toolType[<*>] = TOOL_TYPE_FINGER buttonState = <*> metaState = <*> flags = <*> edgeFlags = <*> pointerCount = <*> historySize = <*> eventTime = <*> downTime = <*> deviceId = <*> source = <*> } mBlockTouches = false,2
63ed2784,sending alarm Alarm{<*> type <*> when <*> PendingIntent{<*> PendingIntentRecord{<*> <*> broadcastIntent}}} repeatInterval = <*> listenerTag = null,2
0300dbb3,animateCollapsePanels flags = <*> force = true delayed = true mExpandedVisible = true,2
99718fbd,getRingerMode...,3
19310c62,disable < expand icons* alerts system_info* back home recent clock navigationbar search quick_settings >,3
9a229d55,disable < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,3
da45c339,makeExpandedInvisible mExpandedVisible = true,3
0a050854,getAllCellInfo is blocked by permission manager . callingPackage = <*>,3
215c579a,scheduleTimeTickEvent triggerAtTime = <*>,3
a9a0e76e,Destroying surface Surface(name = InputMethod) called by <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>$H.handleMessage <*> <*> <*>,3
34f84013,<*> Must execute in UI,3
ae0e6d6d,visible is <*>,3
3e03b5e1,handleTimeUpdate,3
2b0ebf25,cancelNotification index <*>,3
8aaf64c8,sending alarm Alarm{<*> type <*> when <*> PendingIntent{<*> PendingIntentRecord{<*> android broadcastIntent}}} repeatInterval = <*> listenerTag = time_tick,3
b0fb9415,Received TIME_TICK alarm; rescheduling,3
2f983de0,registerCallback not in UI.,3
3a97dc6f,mHeadsUpExistenceChangedRunnable,4
7233f052,received broadcast <*>,4
35abe8c5,ActivityManagerService attachApplication callingPid = <*>,4
a836e58b,updateLightsLocked mInCall = false mScreenOn = true ledNotification = = null?true,4
b3ae5c59,ActivityRecord info ActivityInfo{<*> <*>} euid <*>,4
094b0e8d,Taking screenshot from Surface with crop [Rect(<*> <*> - <*> <*>)] width [<*>] height [<*>] minLayer [<*>] maxLayer [<*>] inRotation [false] rot [<*>],4
d027f27f,shouldBlockLocation ret true,4
168e62e2,mVisiblity.getValue is false,5
c22c4fc5,getNeighboringCellInfo calling app is <*>,5
0d420934,animateCollapsePanels flags = <*> force = false delayed = false mExpandedVisible = false,5
d68eebe9,"acquire lock = <*> flags = <*> tag = ""AudioMix"" name = audioserver ws = null uid = <*> pid = <*>",5
7735d2c2,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount = <*>,6
3bc1019c,Destroying surface Surface(name = <*><*>.<*>) called by <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,6
5aed32fe,updateLightsLocked turn off notificationLight,6
369d5eff,cleanUpApplicationRecord -- <*>,6
7b48573a,cleanUpApplicationRecordLocked pid <*> restart false,6
