EventId,EventTemplate,Occurrences
42428e48,ciod : generated 128 core files for program /bgl/apps/SWL/stability/DDCMD//ddcMDbglV,1
01b38e2e,iar 00106704 dear 0245d57c,1
c1fe80f2,iar 00106704 dear 0245b83c,1
4cf1d772,iar 0010639c dear 0245b71c,1
bd3dd1b8,iar 00106704 dear 0245b80c,1
4cf399ac,45684 floating point alignment exceptions,1
f8d77437,iar 0010686c dear 02f6951c,1
5111801c,iar 0010686c dear 02f6930c,1
af8495bb,iar 00106bd8 dear 0245cf3c,1
3f3d3587,iar 00106834 dear 0245cd0c,1
9b9dc5e6,iar 00106bd8 dear 0245cf0c,1
0c2d6555,iar 00106600 dear 0245ccfc,1
6b46eda5,iar 00106bc0 dear 0245cdec,1
62f144c6,iar 00106b8c dear 0245cf5c,1
2db7a6a0,iar 0010681c dear 02f692fc,1
a0fb2a14,iar 00106bd8 dear 0245ceec,1
d03856d1,iar 00106bd8 dear 0245cd9c,1
77c1e15a,iar 00106bc0 dear 0245cd7c,1
17dcaacf,iar 00106228 dear 0244c24c,1
9a654577,iar 00106568 dear 045e140c,1
add6a3c7,iar 00106534 dear 045e145c,1
0087e40d,iar 00106568 dear 045e147c,1
a5309ef0,iar 00106580 dear 045e148c,1
b34fbb67,iar 00106570 dear 0245a10c,1
d6e201b4,iar 001063a0 dear 02f67e4c,1
aa3bced3,iar 001061fc dear 02f6676c,1
59d6d9e1,iar 0010662c dear 0245ccfc,1
d99442bd,iar 00106bd8 dear 0245ce0c,1
66cf103b,iar 00106834 dear 0245ccfc,1
d2510387,iar 00106bd8 dear 0245cd8c,1
8f7e5c59,iar 0010682c dear 0245ccfc,1
27ed4c50,iar 00106b8c dear 0245ce8c,1
ac0f981e,iar 00106588 dear 0245a17c,1
dbbd5fc7,iar 00106210 dear 0244c26c,1
c6ee0bc9,iar 0010671c dear 0245b72c,1
3d226375,16469355 floating point alignment exceptions,1
fd004ed0,407736 floating point alignment exceptions,1
bd66d40d,iar 0010653c dear 0245a63c,1
ff1c1827,iar 00106570 dear 0245a5ec,1
2cc958df,iar 00106570 dear 0245a5bc,1
fde46a0d,2667384 floating point alignment exceptions,1
75fb031e,iar 001066c4 dear 0252529c,1
4b3a071f,iar 001066ac dear 025252bc,1
cbc05b95,iar 001066c4 dear 0252523c,1
b23ec43a,iar 001066c4 dear 0252527c,1
9399118b,iar 001066ac dear 0252523c,1
b8c650eb,ciod : generated 128 core files for program /g/g20/valone1/SPaSM-shock/SPaSM_mpi,1
78b18fbc,iar 001007a8 dear 065b4cac,1
ce3d29cf,iar 001007b8 dear 065b4c7c,1
c312c182,iar 00106678 dear 0252523c,1
8b6bd1d9,iar 001066c4 dear 025251fc,1
445c6618,iar 001066c4 dear 0252528c,1
ffe102f4,iar 001066ac dear 0252524c,1
8d460db9,iar 00106390 dear 02f67cfc,1
e29f748f,iar 00106704 dear 0245b6bc,1
e661b0b3,iar 00106168 dear 0245b64c,1
97ae4979,iar 0010635c dear 0245b62c,1
173e6dc7,iar 00106704 dear 0245b77c,1
12df0ad1,16736445 floating point alignment exceptions,1
01da1d8e,16604010 floating point alignment exceptions,1
e892770c,iar 001061cc dear 02f6667c,1
5430a5af,74350836 floating point alignment exceptions,1
bf572641,iar 0010650c dear 0246a95c,1
eaaed240,iar 00106988 dear 02f7bd6c,1
810ebf7a,iar 00106cf8 dear 0246f9fc,1
57627377,54004554 floating point alignment exceptions,1
720d1556,iar 001069a8 dear 02f7bd7c,1
9a1d6c4d,iar 001061e4 dear 0245a09c,1
d14bbae6,428412 floating point alignment exceptions,1
76ff207d,640764 floating point alignment exceptions,1
4278cf3c,iar 00105ea0 dear 0244c28c,1
de7fc6cb,CE sym 9 at (ADDR) mask 0x04,1
2143eef3,CE sym 13 at (ADDR) mask 0x08,1
ba2e9f9a,CE sym 4 at (ADDR) mask 0x40,1
be2fd91d,CE sym 5 at (ADDR) mask 0x40,1
af66e68f,critical input interrupt (unit = 0x0b bit = 0x06) : warning for torus y+ wire,1
ef2b0933,ciod : generated 64 core files for program /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts,1
18995070,CE sym 2 at (ADDR) mask 0x08,1
c54122d1,Machine State Register : (ADDR),1
b93ddc02,ciod : Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116 : 34903 : Link has been severed,1
7c2ab9cd,CE sym 21 at (ADDR) mask 0x40,1
80d4d0e2,CE sym 27 at (ADDR) mask 0x02,1
db17545e,total of 4 ddr error(s) detected and corrected,1
49012cd0,CE sym 26 at (ADDR) mask 0x40,1
2b93ad24,1 ddr errors(s) detected and corrected on rank 0 symbol 35 bit 1,1
8c4ca41e,CE sym 29 at (ADDR) mask 0x08,1
