LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,ParameterList
1,081109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block (BLK) terminating,2620ba37,PacketResponder 1 for block (BLK) terminating,[]
2,081109,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block (BLK) terminating,302a2300,PacketResponder 0 for block (BLK) terminating,[]
3,081109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.73.220 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.73.220']
4,081109,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block (BLK) terminating,ede36145,PacketResponder 2 for block (BLK) terminating,[]
5,081109,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block (BLK) terminating,ede36145,PacketResponder 2 for block (BLK) terminating,[]
6,081109,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.43.115 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.43.115']
7,081109,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.203.80 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.203.80']
8,081109,204453,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.250.11.85 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.250.11.85']
9,081109,204525,512,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block (BLK) terminating,ede36145,PacketResponder 2 for block (BLK) terminating,[]
10,081109,204655,556,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.42.84,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.42.84']
11,081109,204722,567,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.214.112,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.214.112']
12,081109,204815,653,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.251.30.6 : 33145 dest : /10.251.30.6 : 50010,0a29838d,Receiving block (BLK) src : /<*> : 33145 dest : /<*> : 50010,"['10.251.30.6', '10.251.30.6']"
13,081109,204842,663,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.251.111.130 : 49851 dest : /10.251.111.130 : 50010,b465de60,Receiving block (BLK) src : /<*> : 49851 dest : /<*> : 50010,"['10.251.111.130', '10.251.111.130']"
14,081109,204908,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.110.8 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.110.8']
15,081109,204925,673,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.251.75.228 : 53725 dest : /10.251.75.228 : 50010,ae0c9fb4,Receiving block (BLK) src : /<*> : 53725 dest : /<*> : 50010,"['10.251.75.228', '10.251.75.228']"
16,081109,205035,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock : /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. (BLK),88322596,BLOCK* NameSystem.allocateBlock : /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. (BLK),[]
17,081109,205056,710,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block (BLK) terminating,2620ba37,PacketResponder 1 for block (BLK) terminating,[]
18,081109,205157,752,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.123.1,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.123.1']
19,081109,205315,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock : /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. (BLK),bc13a756,BLOCK* NameSystem.allocateBlock : /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. (BLK),[]
20,081109,205409,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.111.130 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.111.130']
21,081109,205412,832,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.91.229,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.91.229']
22,081109,205632,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.74.79 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.74.79']
23,081109,205739,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.38.197 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.38.197']
24,081109,205742,1001,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.70.211,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.70.211']
