EventId,EventTemplate,Occurrences
af5b3250,Receiving block (BLK) src : /<*> : 60086 dest : /<*> : 50010,1
619c0560,Received block (BLK) of size 28503188 from /<*>,1
55a5c15e,Receiving block (BLK) src : /<*> : 41476 dest : /<*> : 50010,1
d911eeaa,Receiving block (BLK) src : /<*> : 58823 dest : /<*> : 50010,1
f4ae0cd1,Receiving block (BLK) src : /<*> : 57548 dest : /<*> : 50010,1
44ba25eb,Receiving block (BLK) src : /<*> : 57634 dest : /<*> : 50010,1
f415609c,Receiving block (BLK) src : /<*> : 36862 dest : /<*> : 50010,1
7b1a1ec5,Receiving block (BLK) src : /<*> : 50095 dest : /<*> : 50010,1
bcacc8d2,Receiving block (BLK) src : /<*> : 36039 dest : /<*> : 50010,1
e30f99d7,Receiving block (BLK) src : /<*> : 45279 dest : /<*> : 50010,1
cb77f874,Received block (BLK) of size 28494398 from /<*>,1
61288839,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 28482383,1
aba777ea,Receiving block (BLK) src : /<*> : 59430 dest : /<*> : 50010,1
886ce836,Receiving block (BLK) src : /<*> : 40478 dest : /<*> : 50010,1
66fc5206,Receiving block (BLK) src : /<*> : 38873 dest : /<*> : 50010,1
a146b2b4,Receiving block (BLK) src : /<*> : 42992 dest : /<*> : 50010,1
75a702d4,BLOCK* NameSystem.allocateBlock : /user/root/randtxt4/_temporary/_task_200811101024_0010_m_000881_0/part-00881. (BLK),1
20dd3318,Received block (BLK) of size 28497700 from /<*>,1
ce7338f0,Receiving block (BLK) src : /<*> : 40530 dest : /<*> : 50010,1
e018c1cb,Receiving block (BLK) src : /<*> : 48077 dest : /<*> : 50010,1
cf3eba89,BLOCK* NameSystem.allocateBlock : /user/root/randtxt4/_temporary/_task_200811101024_0010_m_000222_0/part-00222. (BLK),1
e3890649,Receiving block (BLK) src : /<*> : 42064 dest : /<*> : 50010,1
c3aca5fa,Receiving block (BLK) src : /<*> : 50205 dest : /<*> : 50010,1
d064db84,Receiving block (BLK) src : /<*> : 59148 dest : /<*> : 50010,1
f4dec364,Receiving block (BLK) src : /<*> : 40031 dest : /<*> : 50010,1
