EventId,EventTemplate,Occurrences
935385dd,Component State Change : Component \042SCSI-WWID : 01000010 : 6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state ((HWID)),1
25a6a125,ClusterFileSystem : ServerFileSystem domain cluster_usr_backup is no longer served by node node-160,1
5ceae511,ClusterFileSystem : ServerFileSystem domain root25_local is no longer served by node node-216,1
8491c818,ClusterFileSystem : ServerFileSystem domain root8_domain is no longer served by node node-167,1
3d584e68,ClusterFileSystem : ServerFileSystem domain storage211 is no longer served by node node-4,1
5e88f78f,ClusterFileSystem : ServerFileSystem domain root14_tmp is no longer served by node node-45,1
8050434b,ClusterFileSystem : ServerFileSystem domain root23_local is no longer served by node node-182,1
f4c65313,ClusterFileSystem : ServerFileSystem domain root12_tmp is no longer served by node node-11,1
a699b640,ClusterFileSystem : ServerFileSystem domain storage534 is no longer served by node node-18,1
cdf10ff2,ClusterFileSystem : ServerFileSystem domain root6_domain is no longer served by node node-37,1
0d856175,ClusterFileSystem : ServerFileSystem domain root14_local is no longer served by node node-77,1
bf894727,ClusterFileSystem : ServerFileSystem domain root19_domain is no longer served by node node-114,1
b86decb8,ClusterFileSystem : ServerFileSystem domain storage343 is no longer served by node node-11,1
c0c9cdc8,ClusterFileSystem : ServerFileSystem domain storage1422 is no longer served by node node-245,1
992e6a1a,ClusterFileSystem : ServerFileSystem domain root5_tmp is no longer served by node node-228,1
1c249e57,ClusterFileSystem : ServerFileSystem domain root28_domain is no longer served by node node-187,1
32ee6b4b,ClusterFileSystem : ServerFileSystem domain root5_domain is no longer served by node node-196,1
df467f6c,ClusterFileSystem : ServerFileSystem domain root12_domain is no longer served by node node-11,1
92aa5fb5,ClusterFileSystem : ServerFileSystem domain root_domain is no longer served by node node-128,1
7f166a24,ClusterFileSystem : ServerFileSystem domain root29_local is no longer served by node node-28,1
b0c27172,ClusterFileSystem : ServerFileSystem domain root24_local is no longer served by node node-247,1
39c68fc0,ClusterFileSystem : ServerFileSystem domain root17_domain is no longer served by node node-240,1
2706b4fa,boot (command 2092) Error : HALT asserted\ cannot continue,1
fc3695d9,risBoot (command 1903) Error : Timed out while waiting for SRM prompt : <ABORT code completed>,1
74365a10,ambient = 37,1
36da96fe,ambient = 23,1
86d6833d,inconsistent nodesets node-31 0x1fffffffe <ok> node-0 0xfffffffe <ok> node-1 0xfffffffe <ok> node-2 0xfffffffe <ok> node-30 0xfffffffe <ok>,1
3b38bec1,closing,1
1ee85f6c,starting,1
13856549,inconsistent nodesets node-1 0x000001fc <ok> node-2 0x000001fc <ok> node-7 0x000001fc <ok> node-4 0x000001fc <ok> node-6 0x000001fc <ok> node-5 0x000001fc <ok> node-3 0x000001fc <ok> node-14 0x0003fdfc <ok> node-13 0x0003fdfc <ok> node-12 0x0003fdfc <ok> node-10 0x0003fdfc <ok> node-16 0x0003fdfc <ok> node-15 0x0003fdfc <ok>,1
252f035f,not-responding,1
1793c40e,inconsistent nodesets node-32 0x00000002 <ok> node-34 0x000001fe <ok> node-33 0x000001fe <ok> node-35 0x000001fe <ok>,1
445dbb18,inconsistent nodesets node-160 0x0001edfe <ok> node-161 0x1001fdfe <ok> node-162 0x1001fdfe <ok> node-163 0x1001fdfe <ok>,1
9faec153,ClusterFileSystem : ServerFileSystem domain root28_domain is no longer served by node node-219,1
516c163a,ClusterFileSystem : ServerFileSystem domain root1_domain_backup is no longer served by node node-96,1
b2c6fdb9,ClusterFileSystem : ServerFileSystem domain root1_tmp_backup is no longer served by node node-96,1
d22cf7da,ClusterFileSystem : ServerFileSystem domain cluster_var_backup is no longer served by node node-224,1
65453e09,ClusterFileSystem : ServerFileSystem domain cluster_usr_backup is no longer served by node node-192,1
0d534ec4,ClusterFileSystem : ServerFileSystem domain sc_cluster_backup is no longer served by node node-0,1
8fa5c80e,ClusterFileSystem : ServerFileSystem domain root18_tmp is no longer served by node node-241,1
bde73f88,Failed subcommands 3406,1
bc0b2756,ClusterFileSystem : ServerFileSystem domain root26_domain is no longer served by node node-57,1
aa56253e,ClusterFileSystem : ServerFileSystem domain root28_domain is no longer served by node node-96,1
11d891f7,Fan speeds ( 3552 3534 3391 4299 3515 3479 ),1
0753c0fd,Fan speeds ( 3552 3534 3375 4192 3515 3479 ),1
79f5ef1c,NIFF : node node-73 has detected an available network connection on network 0.0.0.0 via interface alt0,1
688b5b2b,Fan speeds ( 3552 3534 3375 4166 3515 3479 ),1
f2af71f1,Fan speeds ( 3552 3534 3375 4470 3515 3479 ),1
277df4de,Fan speeds ( 3552 3534 3375 11637 3515 3479 ),1
1a56db26,ServerFileSystem : An ServerFileSystem domain panic has occurred on storage442,1
0bfcea8e,NIFF : node node-162 detected a failed network connection on network 5.5.224.0 via interface alt0,1
aeb57f8a,NIFF : node node-69 detected a failed network connection on network 5.5.224.0 via interface alt0,1
6a00867e,ClusterFileSystem : There is no server for ServerFileSystem domain storage321,1
5eb6bf97,ClusterFileSystem : There is no server for ServerFileSystem domain storage531,1
be2ac5b9,ClusterFileSystem : There is no server for ServerFileSystem domain storage832,1
ee114022,ClusterFileSystem : There is no server for ServerFileSystem domain storage132,1
d959d938,ClusterFileSystem : There is no server for ServerFileSystem domain storage411,1
f077bab6,ClusterFileSystem : There is no server for ServerFileSystem domain storage1311,1
04d480d4,ClusterFileSystem : There is no server for ServerFileSystem domain storage142,1
3ef1092b,ClusterFileSystem : There is no server for ServerFileSystem domain storage1432,1
5b4c7e2d,Fan speeds ( 3534 3534 3375 4272 3497 3479 ),1
1196f679,ClusterFileSystem : ServerFileSystem domain root30_domain is no longer served by node node-0,1
cdd0d91a,Fan speeds ( 3534 3534 3375 4470 3497 3479 ),1
5452c51c,Command has been aborted,1
70d85f69,ClusterFileSystem : ServerFileSystem domain root10_domain is no longer served by node node-224,1
7a61c1ca,ClusterFileSystem : ServerFileSystem domain root9_domain is no longer served by node node-224,1
621f9abb,ClusterFileSystem : ServerFileSystem domain root3_domain is no longer served by node node-128,1
6de3142c,ClusterFileSystem : ServerFileSystem domain root_domain is no longer served by node node-160,1
12746bce,ClusterFileSystem : ServerFileSystem domain cluster_root_backup is no longer served by node node-96,1
181346b0,ServerFileSystem : ServerFileSystem domain root26_local is full,1
6d067649,ServerFileSystem : ServerFileSystem domain root25_local is full,1
1c250ca8,ServerFileSystem : ServerFileSystem domain root3_local is full,1
aede526d,ServerFileSystem : ServerFileSystem domain root1_local is full,1
ca492c32,ServerFileSystem : ServerFileSystem domain root7_local is full,1
740a1487,ServerFileSystem : ServerFileSystem domain root26_tmp is full,1
f28a9023,ServerFileSystem : ServerFileSystem domain root13_local is full,1
9192a591,ServerFileSystem : ServerFileSystem domain root10_local is full,1
5c3866fb,ServerFileSystem : ServerFileSystem domain root14_local is full,1
4f81b9d1,Link error on broadcast tree Interconnect-1T00 : 00 : 3 : 6,1
d3c58961,Link error on broadcast tree Interconnect-0T00 : 00 : 2 : 1,1
e13d082a,power/control problem,1
8c1fbc76,Fan speeds ( 3534 3534 3375 4115 3497 3479 ),1
b3f664d2,ClusterFileSystem : There is no server for ServerFileSystem domain storage112,1
06ca5616,NIFF : node node-129 has detected an available network connection on network 10.128.0.0 via interface ee0,1
832e5d50,NIFF : node node-24 has detected an available network connection on network 10.128.0.0 via interface ee0,1
583ca1ce,NIFF : node node-150 has detected an available network connection on network 5.5.224.0 via interface alt0,1
070ef51a,NIFF : node node-46 has detected an available network connection on network 5.5.224.0 via interface alt0,1
573fee66,NIFF : node node-204 has detected an available network connection on network 5.5.224.0 via interface alt0,1
