EventId,EventTemplate,Occurrences
fd985683,Created MRAppMaster for application appattempt 1445144423722 0020 000001,1
183cb032,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 109 seconds. Will retry shortly ...,1
d9d6c531,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 110 seconds. Will retry shortly ...,1
d30bfd95,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 111 seconds. Will retry shortly ...,1
99583369,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 112 seconds. Will retry shortly ...,1
67a8ccd5,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 113 seconds. Will retry shortly ...,1
8add2ca7,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 114 seconds. Will retry shortly ...,1
c61128df,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 115 seconds. Will retry shortly ...,1
8e8b2784,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 116 seconds. Will retry shortly ...,1
9fe3e37e,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 108 seconds. Will retry shortly ...,1
0bf94f3c,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 117 seconds. Will retry shortly ...,1
f7fc4dfe,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 119 seconds. Will retry shortly ...,1
04a4aabe,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 120 seconds. Will retry shortly ...,1
b09a1ef8,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 121 seconds. Will retry shortly ...,1
a18b9cbc,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 122 seconds. Will retry shortly ...,1
4db886ab,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 123 seconds. Will retry shortly ...,1
6e576ff8,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 124 seconds. Will retry shortly ...,1
52990cb9,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 125 seconds. Will retry shortly ...,1
8beea6b0,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 126 seconds. Will retry shortly ...,1
f896e3ae,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 118 seconds. Will retry shortly ...,1
a04f6a78,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 107 seconds. Will retry shortly ...,1
7e0a9be1,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 106 seconds. Will retry shortly ...,1
f454f57a,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 105 seconds. Will retry shortly ...,1
af92c85e,attempt 1445144423722 0020 m 000001 0 TaskAttempt Transitioned from FAIL TASK CLEANUP to FAILED,1
6ea03fb1,attempt 1445144423722 0020 m 000001 1 TaskAttempt Transitioned from NEW to UNASSIGNED,1
684bf544,2 failures on node MININT-FNANLI5.fareast.corp.microsoft.com,1
0f18436f,Added attempt 1445144423722 0020 m 000001 1 to list of failed maps,1
2a75d12e,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 91 seconds. Will retry shortly ...,1
9b6cae60,Before Scheduling : PendingReds : 0 ScheduledMaps : 3 ScheduledReds : 1 AssignedMaps : 9 AssignedReds : 0 CompletedMaps : 1 CompletedReds : 0 ContAlloc : 11 ContRel : 1 HostLocal : 7 RackLocal : 3,1
d4430115,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 92 seconds. Will retry shortly ...,1
f6943b9a,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 93 seconds. Will retry shortly ...,1
861b65b5,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 94 seconds. Will retry shortly ...,1
a8041f16,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 95 seconds. Will retry shortly ...,1
2dad3101,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 96 seconds. Will retry shortly ...,1
2a1927d5,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 97 seconds. Will retry shortly ...,1
fec052af,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 98 seconds. Will retry shortly ...,1
45607866,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 99 seconds. Will retry shortly ...,1
edea220a,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 100 seconds. Will retry shortly ...,1
5c651fbf,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 101 seconds. Will retry shortly ...,1
70e33acc,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 102 seconds. Will retry shortly ...,1
f88835c4,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 103 seconds. Will retry shortly ...,1
db14cf23,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 104 seconds. Will retry shortly ...,1
c7363f93,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 127 seconds. Will retry shortly ...,1
dd3a22c8,Task cleanup failed for attempt attempt 1445144423722 0020 m 000001 0,1
024cc5f7,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 128 seconds. Will retry shortly ...,1
76814f90,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 130 seconds. Will retry shortly ...,1
c42a6116,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 154 seconds. Will retry shortly ...,1
db4ae60e,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 155 seconds. Will retry shortly ...,1
11f1d3e9,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 156 seconds. Will retry shortly ...,1
43c091f0,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 157 seconds. Will retry shortly ...,1
54bb0140,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 158 seconds. Will retry shortly ...,1
af3ed1d3,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 159 seconds. Will retry shortly ...,1
ff6911ad,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 160 seconds. Will retry shortly ...,1
fb69d935,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 161 seconds. Will retry shortly ...,1
31bb4b5a,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 153 seconds. Will retry shortly ...,1
aba4111c,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 162 seconds. Will retry shortly ...,1
30291873,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 164 seconds. Will retry shortly ...,1
315d92f6,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 165 seconds. Will retry shortly ...,1
38addec6,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 166 seconds. Will retry shortly ...,1
2cbfeaea,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 167 seconds. Will retry shortly ...,1
23ae9ffa,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 168 seconds. Will retry shortly ...,1
087bb21d,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 169 seconds. Will retry shortly ...,1
1ad5d793,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 171 seconds. Will retry shortly ...,1
4665f501,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 172 seconds. Will retry shortly ...,1
9f5aa233,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 163 seconds. Will retry shortly ...,1
9028b952,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 152 seconds. Will retry shortly ...,1
9ffc74fe,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 151 seconds. Will retry shortly ...,1
b68282b1,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 150 seconds. Will retry shortly ...,1
d2f21b4b,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 131 seconds. Will retry shortly ...,1
95a74b59,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 132 seconds. Will retry shortly ...,1
0c205331,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 133 seconds. Will retry shortly ...,1
13536e92,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 134 seconds. Will retry shortly ...,1
6e965658,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 135 seconds. Will retry shortly ...,1
6f25389e,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 136 seconds. Will retry shortly ...,1
28f97be2,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 137 seconds. Will retry shortly ...,1
4c0dde47,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 138 seconds. Will retry shortly ...,1
7b1bc782,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 139 seconds. Will retry shortly ...,1
6560e51d,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 140 seconds. Will retry shortly ...,1
b3c9f8b4,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 141 seconds. Will retry shortly ...,1
f65436cd,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 142 seconds. Will retry shortly ...,1
fa7d3c62,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 143 seconds. Will retry shortly ...,1
b57dce6f,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 144 seconds. Will retry shortly ...,1
c8d80c42,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 145 seconds. Will retry shortly ...,1
79b749cd,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 146 seconds. Will retry shortly ...,1
7f4af919,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 147 seconds. Will retry shortly ...,1
8c3e9c22,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 148 seconds. Will retry shortly ...,1
619559b0,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 149 seconds. Will retry shortly ...,1
ed15a100,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 129 seconds. Will retry shortly ...,1
6729d56a,attempt 1445144423722 0020 m 000001 0 TaskAttempt Transitioned from FAIL CONTAINER CLEANUP to FAIL TASK CLEANUP,1
c0f3542f,KILLING attempt 1445144423722 0020 m 000001 0,1
244cd618,Processing the event EventType : CONTAINER REMOTE CLEANUP for container container 1445144423722 0020 01 000003 taskAttempt attempt 1445144423722 0020 m 000001 0,1
e6fb7526,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 46 seconds. Will retry shortly ...,1
9d9a6d4f,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 47 seconds. Will retry shortly ...,1
d8ef8dbc,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 48 seconds. Will retry shortly ...,1
f324d667,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 49 seconds. Will retry shortly ...,1
839045c7,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 50 seconds. Will retry shortly ...,1
07148b73,Failed to renew lease for [DFSClient NONMAPREDUCE 1537864556 1] for 51 seconds. Will retry shortly ...,1
