EventId,EventTemplate,Occurrences
41cbeeb8,klogd 1.4.1 log source = /proc/kmsg started.,1
7d73b4c5,portmap startup succeeded,1
4e020e42,PID hash table entries: 512 ( order 9: 4096 bytes ),1
b6fd22c2,Detected 731.219 MHz processor.,1
8c112e82,Version 1.0.6 Starting,1
85959353,Using tsc for high-res timesource,1
25830347,rpc.statd startup succeeded,1
a5b547df,Console: colour VGA+ 80x25,1
d849c4d4,Memory: 125312k/129720k available ( 1540k kernel code 3860k reserved 599k data 144k init 0k highmem ),1
be158aca,CPU 0 irqstacks hard = 02345000 soft = 02344000,1
8eff90b2,Calibrating delay loop... 1445.88 BogoMIPS,1
158c34d8,SELinux: Initializing.,1
426f668c,SELinux: Starting in permissive mode,1
6d457c69,There is already a security framework initialized register security failed.,1
a31006da,Failure registering capabilities with the kernel,1
87fcba76,selinux register security: Registering secondary module capability,1
48a493b0,Capability LSM initialized,1
00c09a87,rpc.idmapd startup succeeded,1
acd4b190,Dentry cache hash table entries: 16384 ( order: 4 65536 bytes ),1
3c5e98a7,Security Scaffold v1.0.0 initialized,1
fe3c862d,Initializing CPU#0,1
4845b66c,mapped 4G/4G trampoline to ffff3000.,1
ea3f2a3d,Kernel command line: ro root = LABEL = / rhgb quiet,1
8c537990,BIOS-provided physical RAM map:,1
0d4db11e,BIOS-e820: 0000000000000000 - 00000000000a0000 ( usable ),1
adeb41d5,BIOS-e820: 00000000000f0000 - 0000000000100000 ( reserved ),1
6daab6c4,BIOS-e820: 0000000000100000 - 0000000007eae000 ( usable ),1
ba020229,BIOS-e820: 0000000007eae000 - 0000000008000000 ( reserved ),1
f28a4cbb,BIOS-e820: 00000000ffb00000 - 0000000100000000 ( reserved ),1
9b11616a,0MB HIGHMEM available.,1
6b643c98,126MB LOWMEM available.,1
42e1da55,zapping low mappings.,1
abd14c95,klogd startup succeeded,1
a9678e83,On node 0 totalpages: 32430,1
dd77c5c9,DMA zone: 4096 pages LIFO batch:1,1
9c1d956c,Normal zone: 28334 pages LIFO batch:6,1
d7763055,irqbalance startup succeeded,1
3149afdd,HighMem zone: 0 pages LIFO batch:1,1
90cdab58,DMI 2.3 present.,1
3c5b4adb,ACPI disabled because your bios is from 2000 and too old,1
2dc02775,You can enable it with acpi = force,1
de6cd9cf,Built 1 zonelists,1
33b4b281,Inode-cache hash table entries: 8192 ( order: 3 32768 bytes ),1
e8f0327c,Mount-cache hash table entries: 512 ( order: 0 4096 bytes ),1
e80ae37f,CPU: L1 I cache: 16K L1 D cache: 16K,1
d678ffa6,CPU: L2 cache: 256K,1
2e450820,PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,1
61546724,apm: BIOS version 1.2 Flags 0x03 ( Driver version 1.16ac ),1
2b590d41,audit: initializing netlink socket ( disabled ),1
d1ec3c98,kernel.core uses pid = 1,1
1a06754d,HCI daemon ver 2.4 started,1
dbae5392,hcid startup succeeded,1
e75dd365,audit ( 1122475266.4294965305:0 ) : initialized,1
a9d64ca2,Setting network parameters: succeeded,1
3307aa8a,sdpd startup succeeded,1
db9d37a1,sdpd v1.5 started,1
cab2fc96,Total HugeTLB memory allocated 0,1
f3b4bfda,Bringing up loopback interface: succeeded,1
4e2cf38f,VFS: Disk quotas dquot 6.5.1,1
18712230,Dquot-cache hash table entries: 1024 ( order 0 4096 bytes ),1
6999d396,SELinux: Registering netfilter hooks,1
2b566107,Initializing Cryptographic API,1
da8037ce,pci hotplug: PCI Hot Plug PCI Core version: 0.5,1
2bf1954b,isapnp: Scanning for PnP cards...,1
2e3d6c0c,isapnp: No Plug & Play device found,1
4fb9993c,Transparent bridge - 0000:00:1e.0,1
325d0565,Linux version 2.6.5-1.358 ( bhcompile@bugs.build.redhat.com ) ( gcc version 3.3.3 20040412 ( Red Hat Linux 3.3.3-7 ) ) #1 Sat May 8 <*> EDT 2004,1
2858f73a,PCI: Probing PCI hardware ( bus 00 ),1
ea8a8d97,PCI: Invalid ACPI-PCI IRQ routing table,1
53650236,Intel machine check architecture supported.,1
67e6196c,Intel machine check reporting enabled on CPU#0.,1
5dbe1e7b,CPU: Intel Pentium III ( Coppermine ) stepping 06,1
1d8fe60a,Enabling fast FPU save and restore... done.,1
5de744ee,Enabling unmasked SIMD FPU exception support... done.,1
0dfe904f,Checking 'hlt' instruction... OK.,1
80734f26,Initializing random number generator: succeeded,1
60696e47,POSIX conformance testing by UNIFIX,1
853b751d,NET: Registered protocol family 16,1
eea2d0be,PCI: PCI BIOS revision 2.10 entry at 0xfc0ce last bus = 1,1
607eef3d,PCI: Using configuration type 1,1
15e7f54d,mtrr: v2.0 ( 20020519 ),1
4ed240a7,ACPI: Subsystem revision 20040326,1
cf383357,ACPI: Interpreter disabled.,1
3b95b63d,Linux Plug and Play Support v0.97 ( c ) Adam Belay,1
ee129c71,Starting pcmcia: succeeded,1
b311803e,usbcore: registered new driver usbfs,1
18dd943f,usbcore: registered new driver hub,1
cafc1bbd,ACPI: ACPI tables contain no PCI IRQ routing entries,1
1f72ed8d,PCI: Probing PCI hardware,1
25be35b6,Real Time Clock Driver v1.12,1
ad163127,Linux agpgart interface v0.100 ( c ) Dave Jones,1
ca3ccefe,connection from <*> ( ) at Wed Jul 27 <*> 2005,1
03649f38,Couldn't authenticate user,1
57c497f6,User unknown timed out after 900 seconds at Sat Jun 18 <*> 2005,1
aa96bf18,authentication failure logname = uid = 0 euid = 0 tty = :0 ruser = rhost =,1
3be46d32,session closed for user root,1
e2234786,ROOT LOGIN ON tty2,1
a4389a03,session opened for user root by LOGIN ( uid = 0 ),1
c80127b9,imps2: Auto-detected intellimouse PS/2,1
64e68fc2,Received SNMP packet ( s ) from <*>,1
7c5f6003,*** info [mice.c ( 1766 ) ]:,1
91fea51a,syslogd startup succeeded,1
5369f272,ANONYMOUS FTP LOGIN FROM <*> ( anonymous ),2
1f0f69ac,creating device node '/udev/vcsa2',2
585088cb,creating device node '/udev/vcs2',2
9998416d,warning: can't get client address: Connection reset by peer,2
6adaa5ce,removing device node '/udev/vcsa2',2
08e6b3ed,removing device node '/udev/vcs2',2
835d5d37,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = 61-220-159-99.hinet-ip.hinet.net user = root,3
0fcef860,getpeername ( ftpd ) : Transport endpoint is not connected,4
3515f84d,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = c9063558.virtua.com.br,4
35c731b6,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = <*> user = test,4
864ee0aa,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = d211-116-254-214.rev.krline.net,5
375a58fb,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = troi.bluesky-technologies.com user = root,5
adc372d2,cupsd startup succeeded,6
e05fcc23,cupsd shutdown succeeded,6
6f97e9d4,restart.,7
f5341019,connection from <*> ( lns-vlq-45-tou-82-252-162-81.adsl.proxad.net ) at Fri Jun 17 <*> 2005,7
916fbe64,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = biblioteka.wsi.edu.pl,8
e9ade1cd,connection from <*> ( 24-54-76-216.bflony.adelphia.net ) at Fri Jun 17 <*> 2005,8
0760133f,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = 202-132-40-29.adsl.ttn.net user = root,8
89d42be5,Authentication failed from <*> ( <*> ) : Permission denied in replay cache code,8
a52c0b4f,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = csnsu.nsuok.edu user = root,10
706dd5a7,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = 220-135-151-1.hinet-ip.hinet.net user = root,10
67fba049,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = massive.merukuru.org,10
c93f27de,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = 061092085098.ctinets.com,10
c0f62bfc,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = 211-76-104-65.ebix.net.tw,10
fa59a1fa,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = 62-192-102-94.dsl.easynet.nl user = root,10
d1dfe356,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = zummit.com,10
94abc113,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = c51471f2c.cable.wanadoo.nl user = root,10
778dbef8,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = <*>.nw.nuvox.net user = root,10
db412aba,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = ip-216-69-169-168.ip.secureserver.net,10
eeddd0fc,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = p15105218.pureserver.info user = root,10
9cb757c4,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = adsl-70-242-75-179.dsl.ksc2mo.swbell.net,10
0282f795,connection from <*> ( ) at Mon Jun 20 <*> 2005,12
d629a504,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = h64-187-1-131.gtconnect.net user = root,13
7acf29ac,connection from <*> ( ) at Fri Jun 24 <*> 2005,13
0855c875,connection from <*> ( lns-vlq-45-tou-82-252-162-81.adsl.proxad.net ) at Sat Jun 18 <*> 2005,15
a908e634,Authentication failed from <*> ( <*> ) : Software caused connection abort,15
a82d5ea6,notify question section contains no SOA,16
b0ea5b05,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = <*> user = guest,17
5a667dc6,connection from <*> ( ) at Mon Jul 18 <*> 2005,21
18e3bd57,connection from <*> ( ) at Fri Jul 15 <*> 2005,22
e75db721,connection from <*> ( ) at Wed Jun 22 <*> 2005,23
4fb13958,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = n219076184117.netvigator.com user = root,23
5df2b408,connection from <*> ( ) at Tue Jul 5 <*> 2005,23
839d3c09,connection from <*> ( ) at Fri Jul 1 <*> 2005,23
9ba6efcc,connection from <*> ( ) at Tue Jul 26 <*> 2005,23
ec385d9c,connection from <*> ( ) at Thu Jul 21 <*> 2005,23
b126b875,connection from <*> ( 82-68-222-195.dsl.in-addr.zen.co.uk ) at Sun Jul 17 <*> 2005,23
98bf1a5b,connection from <*> ( 82-68-222-194.dsl.in-addr.zen.co.uk ) at Sun Jul 17 <*> 2005,23
dea5ca56,Kerberos authentication failed,23
cae92bb3,connection from <*> ( ) at Sat Jul 16 <*> 2005,23
0c5a494c,connection from <*> ( dsl-082-083-227-067.arcor-ip.net ) at Sun Jul 10 <*> 2005,23
305ba8e7,connection from <*> ( host<*>.maximumasp.com ) at Sat Jul 9 <*> 2005,23
c2f6779e,connection from <*> ( dsl-Chn-static-<*>.touchtelindia.net ) at Sun Jul 17 <*> 2005,23
770df7e3,connection from <*> ( dsl-Chn-static-<*>.touchtelindia.net ) at Sun Jul 3 <*> 2005,23
165bf109,connection from <*> ( <*>.sh.interxion.inode.at ) at Sun Jul 3 <*> 2005,23
47ba03fd,connection from <*> ( ) at Wed Jul 6 <*> 2005,23
a467e2a8,connection from <*> ( adsl-63-197-98-106.dsl.mtry01.pacbell.net ) at Mon Jul 4 <*> 2005,23
1dbaecd9,connection from <*> ( ) at Sat Jun 25 <*> 2005,31
6eda42bc,connection from <*> ( ) at Thu Jul 7 <*> 2005,31
57d074cb,connection from <*> ( aml-sfh-3310b.adsl.wanadoo.nl ) at Sun Jul 17 <*> 2005,32
dd1fe0f5,connection from <*> ( ) at Sun Jul 17 <*> 2005,32
91b7ca30,session closed for user test,36
15d6cc4f,session opened for user test by ( uid = 509 ),36
637ca600,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = <*>,40
cc0770d5,connection from <*> ( ) at Sun Jul 24 <*> 2005,42
d5e639fe,connection from <*> ( ) at Mon Jul 25 <*> 2005,42
70fd00b7,session closed for user news,43
1ddb9930,session opened for user news by ( uid = 0 ),43
a757c0c2,ALERT exited abnormally with [1],43
fe6f65a7,session closed for user cyrus,43
b0808afd,session opened for user cyrus by ( uid = 0 ),43
fac3b0e8,connection from <*> ( ) at Fri Jul 22 <*> 2005,46
aa80e842,connection from <*> ( ) at Sun Jul 10 <*> 2005,46
dc21c31e,connection from <*> ( host8.topspot.net ) at Sun Jul 17 <*> 2005,46
f848fb32,connection from <*> ( ) at Wed Jun 29 <*> 2005,53
b23d76dc,connection from <*> ( ) at Sat Jul 9 <*> 2005,64
632d754a,check pass user unknown,117
0ee3cb61,authentication failure logname = uid = 0 euid = 0 tty = NODEVssh ruser = rhost = <*> user = root,239
