EventId,EventTemplate,Occurrences
882cb0f6,"clients4.google.com:443 close, 4552 bytes (4.44 <*>) sent, 1616 bytes (1.57 <*>) received, lifetime <*>",1
46b3dac9,"c.trello.com:443 close, 18252 bytes (17.8 <*>) sent, 4768 bytes (4.65 <*>) received, lifetime <*>",1
5e7009bb,"clients6.google.com:443 close, 16089 bytes (15.7 <*>) sent, 12420 bytes (12.1 <*>) received, lifetime <*>",1
ea264f23,"play.google.com:443 close, 35212 bytes (34.3 <*>) sent, 22125 bytes (21.6 <*>) received, lifetime <*>",1
c3dea288,"clients4.google.com:443 close, 8395 bytes (8.19 <*>) sent, 4455 bytes (4.35 <*>) received, lifetime <*>",1
5eb647da,"play.google.com:443 close, 3874 bytes (3.78 <*>) sent, 2186 bytes (2.13 <*>) received, lifetime <*>",1
14972ed7,"www.google.com:443 close, 1747 bytes (1.70 <*>) sent, 1218 bytes (1.18 <*>) received, lifetime <*>",1
e8eefb55,"www.baidu.com:80 close, 11662 bytes (11.3 <*>) sent, 7986 bytes (7.79 <*>) received, lifetime <*>",1
cdc02ba9,"f12.baidu.com:80 close, 1634 bytes (1.59 <*>) sent, 15284 bytes (14.9 <*>) received, lifetime <*>",1
85b9f56a,"f12.baidu.com:80 close, 3281 bytes (3.20 <*>) sent, 102173 bytes (99.7 <*>) received, lifetime <*>",1
fbc2dcb0,"static.blog.csdn.net:80 close, 2188 bytes (2.13 <*>) sent, 41402 bytes (40.4 <*>) received, lifetime <*>",1
f6984e40,"dc.csdn.net:80 close, 1822 bytes (1.77 <*>) sent, 754 bytes received, lifetime <*>",1
0c87d563,"beacon.tingyun.com:80 close, 42307 bytes (41.3 <*>) sent, 279 bytes received, lifetime <*>",1
7c2bd65a,"c.csdnimg.cn:80 close, 1314 bytes (1.28 <*>) sent, 27289 bytes (26.6 <*>) received, lifetime <*>",1
806251c1,"csdnimg.cn:80 close, 1278 bytes (1.24 <*>) sent, 6854 bytes (6.69 <*>) received, lifetime <*>",1
a093f20d,"clients4.google.com:443 close, 20249 bytes (19.7 <*>) sent, 20243 bytes (19.7 <*>) received, lifetime <*>",1
baf9d855,"engine.adzerk.net:443 close, 2508 bytes (2.44 <*>) sent, 7073 bytes (6.90 <*>) received, lifetime <*>",1
2d6484f8,"clients6.google.com:443 close, 6703 bytes (6.54 <*>) sent, 5167 bytes (5.04 <*>) received, lifetime <*>",1
d684a759,"www.google.com:443 close, 4012 bytes (3.91 <*>) sent, 6761 bytes (6.60 <*>) received, lifetime <*>",1
d27653a3,"d.dropbox.com:443 close, 1337 bytes (1.30 <*>) sent, 4946 bytes (4.83 <*>) received, lifetime <*>",1
c4209c52,"clients6.google.com:443 close, 7738 bytes (7.55 <*>) sent, 8620 bytes (8.41 <*>) received, lifetime <*>",1
a974a045,"accounts.google.com:443 close, 2834 bytes (2.76 <*>) sent, 1881 bytes (1.83 <*>) received, lifetime <*>",1
1dbfb8eb,"people-pa.clients6.google.com:443 close, 4301 bytes (4.20 <*>) sent, 15401 bytes (15.0 <*>) received, lifetime <*>",1
55f35e96,"clients6.google.com:443 close, 5304 bytes (5.17 <*>) sent, 4396 bytes (4.29 <*>) received, lifetime <*>",1
e6d90c9d,"data.grammarly.com:443 close, 1277 bytes (1.24 <*>) sent, 3833 bytes (3.74 <*>) received, lifetime <*>",1
c7ba0918,"github.com:443 close, 9626 bytes (9.40 <*>) sent, 287127 bytes (280 <*>) received, lifetime <*>",1
c49f8a3f,"lh3.googleusercontent.com:443 close, 2694 bytes (2.63 <*>) sent, 8050 bytes (7.86 <*>) received, lifetime <*>",1
2ef5cc4b,"clients6.google.com:443 close, 2987 bytes (2.91 <*>) sent, 5913 bytes (5.77 <*>) received, lifetime <*>",1
17663e0c,"pubads.g.doubleclick.net:443 close, 22150 bytes (21.6 <*>) sent, 60543 bytes (59.1 <*>) received, lifetime <*>",1
